Dec. 11, 2018   21:01:33
Linear Sweep Voltammetry
File: r:\group-shared\andy\760_data\181211\181211_lsv_afterbulke.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.39
Final E (V) = 2
Scan Rate (V/s) = 0.02
Sample Interval (V) = 0.001
Quiet Time (sec) = 0
Sensitivity (A/V) = 0.001


Potential/V, Current/A

1.461, 1.457e-3
1.462, 1.457e-3
1.463, 1.457e-3
1.464, 1.456e-3
1.465, 1.458e-3
1.466, 1.455e-3
1.467, 1.455e-3
1.468, 1.456e-3
1.469, 1.461e-3
1.470, 1.463e-3
1.471, 1.462e-3
1.472, 1.460e-3
1.473, 1.457e-3
1.474, 1.457e-3
1.475, 1.457e-3
1.476, 1.458e-3
1.477, 1.460e-3
1.478, 1.461e-3
1.479, 1.456e-3
1.480, 1.459e-3
1.481, 1.460e-3
1.482, 1.463e-3
1.483, 1.463e-3
1.484, 1.461e-3
1.485, 1.458e-3
1.486, 1.456e-3
1.487, 1.455e-3
1.488, 1.459e-3
1.489, 1.460e-3
